v15.04    Планета: Уран  (INPOP13C)
          Спутник: U4 Оберон  (Emelyanov,Nikonchuk(2013),DOI:10.1093/mnras/stt1851..)
                            - эфемериды на инт. 1787/02/12.0-2032/01/09.0
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
2012 12  7.000000     0.2913972787       1.093641772  
2012 12 12.000000     0.2899133129       1.109993082  
2012 12 17.000000     0.2900415454       1.100616478  
2012 12 22.000000     0.2919613799       1.113642551  
2012 12 27.000000     0.2942671029       1.150239157  
2013  1  1.000000     0.2986948054       1.160839663  
2013  1  6.000000     0.3042015337       1.212072568  
2013  1 11.000000     0.3104225691       1.260883708  
2013  1 16.000000     0.3188073806       1.299773241  
2013  1 21.000000     0.3275985271       1.380821624  
2013  1 26.000000     0.3375936105       1.438522129  
2013  1 31.000000     0.3492511847       1.510066894  
2013  2  5.000000     0.3609288094       1.607818201  
2013  2 10.000000     0.3742104523       1.676314370  
2013  2 15.000000     0.3883332413       1.778181067  
2013  2 20.000000     0.4024945182       1.880393400  
2013  2 25.000000     0.4182829810       1.964311618  
2013  3  2.000000     0.4340259204       2.086614234  
2013  3  7.000000     0.4501406192       2.185743361  
2013  3 12.000000     0.4674614504       2.288412508  
2013  3 17.000000     0.4841223452       2.417102467  
2013  3 22.000000     0.5015414664       2.512018435  
2013  3 27.000000     0.5193313214       2.631374461  
2013  4  1.000000     0.5362808635       2.752412431  
2013  4  6.000000     0.5541664519       2.846518588  
2013  4 11.000000     0.5714721027       2.974183348  
2013  4 16.000000     0.5881884807       3.078373547  
2013  4 21.000000     0.6055608137       3.175564195  
2013  4 26.000000     0.6215745815       3.298193712  
2013  5  1.000000     0.6374740873       3.383007466  
2013  5  6.000000     0.6533216590       3.483534993  
2013  5 11.000000     0.6675015106       3.587426554  
2013  5 16.000000     0.6819196029       3.656340745  
2013  5 21.000000     0.6953096090       3.754258070  
2013  5 26.000000     0.7072431292       3.829490282  
2013  5 31.000000     0.7193851955       3.888108619  
2013  6  5.000000     0.7296566091       3.972465648  
2013  6 10.000000     0.7390445223       4.016420905  
2013  6 15.000000     0.7480875086       4.067965729  
2013  6 20.000000     0.7548529262       4.126066931  
2013  6 25.000000     0.7613304276       4.142944368  
2013  6 30.000000     0.7665990808       4.185321118  
2013  7  5.000000     0.7698158021       4.208154857  
2013  7 10.000000     0.7729851524       4.206156614  
2013  7 15.000000     0.7740970941       4.231695483  
2013  7 20.000000     0.7738771326       4.217281951  
2013  7 25.000000     0.7733533786       4.203904920  
2013  7 30.000000     0.7704038929       4.202988558  
2013  8  4.000000     0.7669880821       4.157729186  
2013  8  9.000000     0.7625915295       4.135974518  
2013  8 14.000000     0.7560702383       4.101686068  
2013  8 19.000000     0.7496909666       4.037555388  
2013  8 24.000000     0.7416648342       4.005149130  
2013  8 29.000000     0.7324312304       3.938112299  
2013  9  3.000000     0.7234160956       3.868077883  
2013  9  8.000000     0.7124838896       3.819750424  
2013  9 13.000000     0.7014913561       3.729239735  
2013  9 18.000000     0.6903608395       3.662465416  
2013  9 23.000000     0.6777436133       3.594900853  
2013  9 28.000000     0.6659767480       3.496883119  
2013 10  3.000000     0.6535691690       3.436515399  
2013 10  8.000000     0.6406859822       3.352213801  
2013 10 13.000000     0.6290246688       3.263764381  
2013 10 18.000000     0.6165403278       3.208321124  
2013 10 23.000000     0.6048227499       3.117700981  
2013 10 28.000000     0.5941203488       3.051530777  
2013 11  2.000000     0.5829298722       2.998280139  
2013 11  7.000000     0.5734857102       2.917035601  
2013 11 12.000000     0.5645931992       2.878134046  
2013 11 17.000000     0.5560631094       2.827747210  
2013 11 22.000000     0.5496566532       2.772043156  
2013 11 27.000000     0.5434153739       2.757784615  
2013 12  2.000000     0.5385483298       2.716110933  
2013 12  7.000000     0.5355590075       2.696775218  
2013 12 12.000000     0.5327588586       2.700825985  
2013 12 17.000000     0.5321171849       2.678275346  
2013 12 22.000000     0.5326852195       2.697361240  
2013 12 27.000000     0.5338676294       2.714080379  
2014  1  1.000000     0.5374530655       2.721388780  
2014  1  6.000000     0.5415751847       2.772494044  
2014  1 11.000000     0.5469834495       2.800817958  
2014  1 16.000000     0.5544152779       2.844576742  
2014  1 21.000000     0.5619820811       2.916281632  
2014  1 26.000000     0.5714004938       2.959743920  
2014  1 31.000000     0.5820363529       3.038856060  
2014  2  5.000000     0.5928678137       3.120154324  
2014  2 10.000000     0.6057255459       3.184820796  
2014  2 15.000000     0.6188675104       3.290360681  
2014  2 20.000000     0.6325951049       3.374463629  
2014  2 25.000000     0.6479864799       3.464220013  
2014  3  2.000000     0.6629940236       3.582492120  
2014  3  7.000000     0.6790810098       3.668889290  
2014  3 12.000000     0.6959945530       3.782074808  
2014  3 17.000000     0.7122940676       3.899193413  
2014  3 22.000000     0.7299206082       3.991351013  
2014  3 27.000000     0.7473578814       4.119385279  
2014  4  1.000000     0.7644446997       4.226132525  
2014  4  6.000000     0.7826360168       4.327928255  
2014  4 11.000000     0.7997645733       4.457305770  
2014  4 16.000000     0.8170400922       4.550914984  
2014  4 21.000000     0.8346935459       4.662082961  
2014  4 26.000000     0.8508971678       4.778647710  
2014  5  1.000000     0.8676672975       4.862221836  
2014  5  6.000000     0.8837731277       4.976436450  
2014  5 11.000000     0.8985782637       5.069851255  
2014  5 16.000000     0.9139432359       5.148245936  
2014  5 21.000000     0.9276844621       5.253756489  
2014  5 26.000000     0.9407003503       5.320686213  
2014  5 31.000000     0.9537211454       5.396428805  
2014  6  5.000000     0.9645757143       5.479892048  
2014  6 10.000000     0.9753069103       5.523532492  
2014  6 15.000000     0.9850834277       5.593306832  
2014  6 20.000000     0.9928116488       5.644592350  
2014  6 25.000000     1.0006916646       5.671953702  
2014  6 30.000000     1.0066148863       5.726988744  
2014  7  5.000000     1.0111291794       5.742746494  
2014  7 10.000000     1.0154942599       5.759580810  
2014  7 15.000000     1.0173323686       5.788608102  
2014  7 20.000000     1.0186243015       5.773443902  
2014  7 25.000000     1.0189853779       5.781005621  
2014  7 30.000000     1.0169286423       5.775283952  
2014  8  4.000000     1.0149201698       5.738965075  
2014  8  9.000000     1.0110999338       5.732806911  
2014  8 14.000000     1.0056747556       5.690675873  
2014  8 19.000000     1.0003593654       5.643943518  
2014  8 24.000000     0.9927192528       5.616715629  
2014  8 29.000000     0.9845895190       5.545194720  
2014  9  3.000000     0.9760939742       5.494984979  
2014  9  8.000000     0.9655070480       5.441128239  
2014  9 13.000000     0.9554069826       5.354178255  
