v15.04    Планета: Уран  (INPOP13C)
          Спутник: U1 Ариэль  (Emelyanov,Nikonchuk(2013),DOI:10.1093/mnras/stt1851..)
                            - эфемериды на инт. 1787/02/12.0-2032/01/09.0
   Обсерватория N:  84 - Pulkovo
    Шкала времени: UTC
Средний экватор и равноденствие эпохи J2000.  ICRF. 
Координаты астрометрические 
Год  Месяц День       alpha (h)          delta (º)
1965  7  2.000000    10.9149032222       7.740854655  
1965  7 12.000000    10.9399520554       7.581275682  
1965  7 22.000000    10.9688808155       7.398238932  
1965  8  1.000000    11.0011388417       7.195043421  
1965  8 11.000000    11.0360734874       6.975580160  
1965  8 21.000000    11.0730083480       6.744000983  
1965  8 31.000000    11.1112770790       6.504368983  
1965  9 10.000000    11.1501278838       6.261337576  
1965  9 20.000000    11.1888380507       6.019481542  
1965  9 30.000000    11.2266812910       5.783351460  
1965 10 10.000000    11.2628779048       5.557938294  
1965 10 20.000000    11.2967174792       5.347818735  
1965 10 30.000000    11.3274809806       5.157565582  
1965 11  9.000000    11.3544629232       4.991749390  
1965 11 19.000000    11.3770730280       4.854139106  
1965 11 29.000000    11.3947449017       4.748293225  
1965 12  9.000000    11.4070341828       4.677027571  
1965 12 19.000000    11.4136698267       4.641912044  
1965 12 29.000000    11.4144800592       4.643863929  
1966  1  8.000000    11.4095333264       4.682248466  
1966  1 18.000000    11.3991091933       4.754959849  
1966  1 28.000000    11.3836547093       4.858872996  
1966  2  7.000000    11.3638987257       4.989051227  
1966  2 17.000000    11.3407249011       5.139551656  
1966  2 27.000000    11.3151596683       5.303677188  
1966  3  9.000000    11.2883967482       5.473686468  
1966  3 19.000000    11.2616115986       5.642073198  
1966  3 29.000000    11.2359947485       5.801423074  
1966  4  8.000000    11.2126898288       5.944632002  
1966  4 18.000000    11.1926477032       6.065968562  
1966  4 28.000000    11.1767171179       6.160418246  
1966  5  8.000000    11.1655446420       6.224182892  
1966  5 18.000000    11.1595403260       6.255032210  
1966  5 28.000000    11.1589889911       6.251437204  
1966  6  7.000000    11.1639457903       6.213221790  
1966  6 17.000000    11.1743062039       6.141233635  
1966  6 27.000000    11.1898749273       6.036740954  
1966  7  7.000000    11.2102758709       5.902128056  
1966  7 17.000000    11.2350763755       5.740139476  
1966  7 27.000000    11.2637813702       5.553811759  
1966  8  6.000000    11.2957787691       5.346987005  
1966  8 16.000000    11.3304680097       5.123436973  
1966  8 26.000000    11.3671888596       4.887281306  
